lambda,accuracy
0,0.67874664
75,0.69381326
150,0.70729333
225,0.72029334
300,0.73274666
375,0.74584
450,0.75850666
525,0.77067995
600,0.7815067
675,0.7922134
750,0.80376005
825,0.8144401
900,0.82521343
975,0.8342668
1050,0.8437201
1125,0.8524667
1200,0.86016
1275,0.86746675
1350,0.8734667
1425,0.8802
1500,0.88594675
1575,0.8900134
1650,0.8936001
1725,0.8965467
1800,0.89876
1875,0.89996016
1950,0.8987201
2025,0.89845335
2100,0.89690673
2175,0.8956933
2250,0.8934267
2325,0.88844
2400,0.88406676
2475,0.87894666
2550,0.87312
2625,0.86425334
2700,0.8582934
2775,0.85233337
2850,0.84472007
2925,0.83864003
3000,0.82985336
3075,0.81997347
3150,0.81082666
3225,0.8008801
3300,0.7919467
3375,0.7828534
3450,0.7762667
3525,0.7661867
3600,0.7568
3675,0.7455067
3750,0.7372133
3825,0.72621334
3900,0.7128
3975,0.70504004
4050,0.6952
4125,0.68299997
4200,0.67433333
4275,0.6624
4350,0.6499467
4425,0.63930666
4500,0.62994665
4575,0.6179333
4650,0.6071067
4725,0.5978533
4800,0.58948004
4875,0.57728004
4950,0.56901336
5025,0.5620934
5100,0.5510534
5175,0.54301333
5250,0.53264004
5325,0.52494663
5400,0.51777333
5475,0.51180005
5550,0.5024267
5625,0.49308
5700,0.48788005
5775,0.48118672
5850,0.47568002
5925,0.47389334
6000,0.46778664
6075,0.46237335
6150,0.45597333
6225,0.45065337
6300,0.44634667
6375,0.44243997
6450,0.43801332
6525,0.432
6600,0.42444
6675,0.4177867
6750,0.41312003
6825,0.40989333
6900,0.40337333
6975,0.39748
7050,0.39289337
7125,0.38837335
7200,0.3832667
7275,0.37936002
7350,0.3778667
7425,0.3732
7500,0.36707997
