alpha,accuracy
0,0.51372
5,0.52768004
10,0.5416666
15,0.55661327
20,0.56996
25,0.58365333
30,0.59815997
35,0.61235994
40,0.62666667
45,0.64146674
50,0.65584004
55,0.66777337
60,0.68126667
65,0.6928267
70,0.70481336
75,0.7158134
80,0.72544
85,0.7333201
90,0.73948
95,0.7437734
100,0.74736005
105,0.7494134
110,0.7487734
115,0.7463867
120,0.7407067
125,0.73570675
130,0.7276267
135,0.7168934
140,0.7038667
145,0.68844
150,0.66925335
155,0.64768
160,0.62796
165,0.6061734
170,0.5852667
175,0.5631467
180,0.5367333
185,0.51368
190,0.49300003
195,0.4718133
200,0.45621333
205,0.43438667
210,0.41822666
215,0.4022267
220,0.39058667
225,0.37026668
230,0.35004002
235,0.33988
240,0.32882667
245,0.32
250,0.30888
255,0.30052003
260,0.29394668
265,0.2843867
270,0.27906668
275,0.27264002
280,0.2692267
285,0.26624003
290,0.26134667
295,0.25810668
300,0.25589335
305,0.25202668
310,0.25056002
315,0.24785332
320,0.24602666
325,0.24441335
330,0.24237335
335,0.24176002
340,0.24052
345,0.24022667
350,0.23889334
355,0.23816001
360,0.23682669
365,0.23562667
370,0.23453335
375,0.23394668
380,0.23368001
385,0.23380002
390,0.23412001
395,0.23452
400,0.23468001
405,0.23480001
410,0.23414667
415,0.23333335
420,0.23312001
425,0.23190668
430,0.23205335
435,0.23194668
440,0.23209333
445,0.23192
450,0.23202667
455,0.23098667
460,0.23090668
465,0.23096001
470,0.23104
475,0.23097333
480,0.23114666
485,0.23105332
490,0.23096001
495,0.23085336
500,0.23060003
